user_id	movie_id	reward
6040	858	1
6040	593	1
6040	919	1
6040	527	1
6040	318	1
6040	608	1
6040	2858	1
6040	2396	1
6040	2028	1
6040	2762	1
6040	34	1
6040	1617	1
6040	50	1
6040	589	1
6039	2791	1
6039	2396	1
6039	1197	1
6039	3175	1
6039	1270	1
6039	1265	1
6039	260	1
6039	1210	1
6039	1097	1
6039	924	1
6039	919	1
6038	1210	1
6038	356	1
6038	2716	1
6037	2028	1
6037	858	1
6037	1221	1
6037	318	1
6037	2858	1
6037	1193	1
6037	527	1
6037	919	1
6037	608	1
6036	2858	1
6036	2997	1
6037	1097	1
6037	924	1
6037	1259	1
6036	2716	1
6037	296	1
6036	2762	1
6036	50	1
6036	1198	1
6036	1196	1
6036	318	1
6036	2028	1
6036	608	1
6036	260	1
6036	1193	1
6036	541	1
6036	1617	1
6035	1193	1
6036	593	1
6035	2628	1
6035	3175	1
6035	2571	1
6036	1214	1
6035	1580	1
6036	1240	1
6035	1210	1
6035	1240	1
6035	1196	1
6035	541	1
6035	1270	1
6035	1097	1
6036	924	1
6036	2791	1
6035	318	1
6035	527	1
6035	608	1
6035	110	1
6035	296	1
6036	1387	1
6034	527	1
6034	1617	1
6034	541	1
6036	1197	1
6034	2987	1
6036	589	1
6036	2571	1
6036	457	1
6036	1259	1
6036	1265	1
6035	1	1
6035	2396	1
6035	356	1
6035	1265	1
6035	2355	1
6036	1097	1
6036	34	1
6033	2628	1
6033	2916	1
6033	1193	1
6033	2987	1
6033	1198	1
6033	1214	1
6033	260	1
6033	858	1
6033	1221	1
6033	2028	1
6033	110	1
6033	1196	1
6033	1387	1
6033	1210	1
6033	457	1
6033	1127	1
6033	480	1
6033	780	1
6033	1580	1
6036	110	1
6040	541	1
6040	1259	1
6040	1240	1
6040	1198	1
6040	1196	1
6040	2791	1
6040	1097	1
6040	1200	1
6040	1127	1
6036	1127	1
6036	1210	1
6040	260	1
6032	1196	1
6032	1197	1
6036	2355	1
6036	480	1
6032	924	1
6032	1193	1
6036	3175	1
6031	2762	1
6031	541	1
6031	457	1
6032	2987	1
6031	2571	1
6031	1270	1
6031	919	1
6031	356	1
6030	110	1
6031	2716	1
6032	34	1
6030	2762	1
6030	2628	1
6032	1	1
6031	1097	1
6030	1097	1
6030	260	1
6030	1196	1
6030	1270	1
6030	541	1
6030	1200	1
6031	1210	1
6030	924	1
6030	1214	1
6030	1240	1
6030	589	1
6030	2916	1
6030	2571	1
6031	1240	1
6030	480	1
6030	780	1
6037	1617	1
6037	593	1
6037	50	1
6037	2762	1
6037	1214	1
6037	1240	1
6037	589	1
6037	457	1
6032	1387	1
6032	2716	1
6032	1214	1
6037	1127	1
6037	34	1
6037	2396	1
6037	1270	1
6037	2997	1
6029	1210	1
6029	2762	1
6029	2628	1
6028	1210	1
6028	858	1
6028	1221	1
6028	1387	1
6028	1214	1
6028	1200	1
6028	1240	1
6028	2571	1
6028	2916	1
6028	1127	1
6026	858	1
6027	1210	1
6026	541	1
6026	260	1
6026	1240	1
6026	1270	1
6026	589	1
6026	924	1
6026	1214	1
6026	1196	1
6026	1200	1
6026	1210	1
6026	2571	1
6026	2916	1
6026	1097	1
6026	2628	1
6026	1580	1
6027	457	1
6027	2028	1
6027	110	1
6027	1580	1
6026	1221	1
6026	318	1
6026	50	1
6027	2858	1
6026	1198	1
6026	593	1
6027	1265	1
6026	527	1
6025	1097	1
6025	1196	1
6025	2628	1
6025	2716	1
6025	2396	1
6025	356	1
6025	1265	1
6025	2571	1
6025	1617	1
6025	2762	1
6024	1097	1
6024	527	1
6024	2355	1
6024	2716	1
6024	2396	1
6024	2987	1
6024	1196	1
6024	1198	1
6024	260	1
6024	1240	1
6024	2571	1
6024	2028	1
6024	589	1
6024	457	1
6024	1387	1
6024	1197	1
6024	2916	1
6024	1210	1
6024	1580	1
6024	1127	1
6024	2628	1
6024	780	1
6023	527	1
6023	2762	1
6023	2628	1
6023	2028	1
6023	1196	1
6023	260	1
6023	1214	1
6023	457	1
6023	1387	1
6023	1197	1
6023	1210	1
6023	1580	1
6023	780	1
6023	50	1
6036	1270	1
6036	1200	1
6022	1210	1
6021	356	1
6021	1193	1
6022	2028	1
6022	608	1
6022	296	1
6022	110	1
6022	1	1
6022	1270	1
6022	1240	1
6022	1259	1
6022	2716	1
6022	1200	1
6021	1197	1
6021	1265	1
6021	1210	1
6022	2987	1
6022	1196	1
6022	260	1
6022	2571	1
6022	480	1
6022	1097	1
6021	1198	1
6021	858	1
6021	589	1
6021	1221	1
6021	260	1
6021	1200	1
6021	1214	1
6021	110	1
6021	1240	1
6021	457	1
6021	480	1
6021	2571	1
6021	2916	1
6021	2628	1
6021	919	1
6021	1196	1
6021	1580	1
6021	2987	1
6021	1	1
6021	2355	1
6021	1270	1
6021	34	1
6021	2716	1
6021	2791	1
6021	1097	1
6021	780	1
6020	110	1
6020	541	1
6020	1387	1
6020	1214	1
6020	1196	1
6020	457	1
6039	858	1
6020	589	1
6020	1210	1
6020	1580	1
6020	2916	1
6019	1210	1
6019	1240	1
6019	589	1
6019	2858	1
6019	50	1
6019	296	1
6019	593	1
6019	318	1
6019	2396	1
6019	2628	1
6019	1580	1
6019	480	1
6018	2628	1
6018	858	1
6018	919	1
6018	527	1
6018	2355	1
6018	2716	1
6017	1210	1
6018	2987	1
6017	2762	1
6018	260	1
6018	1198	1
6018	2028	1
6018	1214	1
6018	589	1
6018	1240	1
6018	1200	1
6018	1387	1
6018	110	1
6018	1197	1
6018	1210	1
6018	2571	1
6018	1580	1
6018	1127	1
6017	2628	1
6018	2916	1
6018	924	1
6018	1097	1
6018	541	1
6018	780	1
6016	1097	1
6016	2762	1
6016	1221	1
6016	260	1
6016	858	1
6016	1214	1
6016	1200	1
6016	1198	1
6016	589	1
6016	1240	1
6016	1196	1
6016	457	1
6016	1210	1
6016	2571	1
6016	1580	1
6016	919	1
6016	1197	1
6016	1259	1
6016	480	1
6016	3175	1
6016	2987	1
6015	296	1
6016	1	1
6015	1	1
6016	2355	1
6015	2355	1
6014	858	1
6015	2858	1
6015	34	1
6015	2396	1
6015	1265	1
6016	34	1
6014	924	1
6014	1270	1
6014	541	1
6014	1196	1
6014	1240	1
6014	260	1
6014	1210	1
6015	2716	1
6014	1200	1
6014	1097	1
6014	1214	1
6014	1617	1
6016	1617	1
6016	296	1
6016	608	1
6013	260	1
6016	2858	1
6016	2396	1
6014	2762	1
6016	2997	1
6013	2762	1
6016	1270	1
6016	1265	1
6014	318	1
6014	919	1
6012	1198	1
6016	2716	1
6011	1210	1
6011	1259	1
6011	260	1
6011	2571	1
6011	1200	1
6011	541	1
6011	1196	1
6011	1240	1
6011	589	1
6011	924	1
6011	1214	1
6011	1097	1
6011	2916	1
6011	2628	1
6011	1580	1
6011	1127	1
6011	780	1
6011	1198	1
6011	858	1
6011	1197	1
6011	457	1
6011	1387	1
6011	480	1
6011	110	1
6010	1259	1
6010	1210	1
6011	1	1
6011	1270	1
6011	356	1
6011	2396	1
6009	1580	1
6009	858	1
6009	356	1
6011	318	1
6011	2762	1
6009	2858	1
6011	1193	1
6009	1617	1
6009	527	1
6009	318	1
6009	2028	1
6009	608	1
6011	34	1
6011	2355	1
6011	2791	1
6009	457	1
6009	780	1
6007	110	1
6007	356	1
6008	1214	1
6008	1198	1
6007	2987	1
6007	1265	1
6008	2028	1
6008	858	1
6008	260	1
6008	1196	1
6008	110	1
6008	1221	1
6007	1197	1
6008	1240	1
6008	2571	1
6008	1200	1
6008	2916	1
6008	2628	1
6007	1214	1
6007	1387	1
6007	2716	1
6007	1198	1
6007	1127	1
6007	480	1
6007	2916	1
6007	1580	1
6007	2571	1
6007	2028	1
6007	1200	1
6007	1240	1
6007	589	1
6007	457	1
6007	2628	1
6007	780	1
6006	608	1
6006	356	1
6005	356	1
6005	1617	1
6005	1387	1
6005	1214	1
6004	110	1
6004	1270	1
6004	1198	1
6004	2355	1
6004	2628	1
6003	1210	1
6004	1097	1
6003	2762	1
6004	2762	1
6003	318	1
6003	527	1
6003	296	1
6003	34	1
6003	2858	1
6003	2396	1
6003	1265	1
6002	1210	1
6002	1097	1
6002	1240	1
6002	589	1
6002	2762	1
6037	260	1
6037	541	1
6037	1200	1
6037	1210	1
6037	3175	1
6001	1193	1
6001	1210	1
6001	2858	1
6001	608	1
6001	296	1
6001	919	1
6001	1259	1
6002	1221	1
6002	858	1
6001	260	1
6001	480	1
6001	1580	1
6001	1127	1
6001	1617	1
6001	541	1
6001	2997	1
6001	924	1
6001	2762	1
6001	50	1
6001	593	1
6001	1240	1
6001	1214	1
6001	2571	1
6001	2916	1
6025	34	1
6025	1	1
6025	2997	1
6025	1580	1
6000	1196	1
6000	2628	1
6000	2916	1
6000	260	1
6000	480	1
6000	2762	1
6000	1097	1
5999	1193	1
5999	1617	1
5999	541	1
5999	2987	1
5998	858	1
5998	480	1
5998	1198	1
5997	1270	1
5997	1214	1
5997	589	1
5997	1240	1
5997	260	1
5997	1196	1
5997	541	1
5997	1200	1
5997	2916	1
5997	1210	1
5997	480	1
5996	1097	1
5996	1210	1
5996	1240	1
5996	260	1
5996	2628	1
5996	1387	1
5996	2716	1
5996	1214	1
5995	1270	1
5995	2396	1
5995	2858	1
5995	2355	1
6010	1270	1
5995	2716	1
5995	2762	1
5995	2987	1
